"Name","Platform","Rank","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","metascore","userscore","date"
"[Prototype 2]","X360",2576,"2012","Action","Activision",0.48,0.25,0,0.07,0.8,NA,NA,NA
"[Prototype]","PS3",1604,"2009","Action","Activision",0.65,0.41,0,0.19,1.24,NA,NA,NA
"[Prototype]","X360",1505,"2009","Action","Activision",0.84,0.35,0,0.12,1.31,NA,NA,NA
"007 Racing","PS",3770,"2000","Racing","Electronic Arts",0.3,0.2,0,0.03,0.53,51,"4.7","Nov 20, 2000"
"007: Quantum of Solace","DS",9320,"2008","Action","Activision",0.11,0.01,0,0.01,0.14,65,"tbd","Nov 4, 2008"
"007: Quantum of Solace","PC",14550,"2008","Action","Activision",0.01,0.01,0,0,0.03,70,"6.1","Nov 4, 2008"
"007: Quantum of Solace","PS2",4501,"2008","Action","Activision",0.17,0,0,0.26,0.43,NA,NA,NA
"007: Quantum of Solace","PS3",1741,"2008","Action","Activision",0.43,0.52,0.02,0.2,1.16,65,"6.7","Nov 4, 2008"
"007: Quantum of Solace","Wii",3040,"2008","Action","Activision",0.3,0.29,0.01,0.07,0.67,NA,NA,NA
"007: Quantum of Solace","X360",1275,"2008","Action","Activision",0.82,0.52,0.01,0.14,1.49,65,"7.1","Nov 4, 2008"
"007: The World is not Enough","N64",1202,"2000","Action","Electronic Arts",1.13,0.38,0.02,0.03,1.55,NA,NA,NA
"007: The World is not Enough","PS",2249,"2000","Action","Electronic Arts",0.51,0.35,0,0.06,0.92,61,"6.8","Nov 6, 2000"
"007: Tomorrow Never Dies","PS",421,"1999","Shooter","Electronic Arts",1.72,1.33,0,0.16,3.21,NA,NA,NA
"1 vs. 100","DS",11233,"2008","Misc","DSI Games",0.08,0,0,0.01,0.09,NA,NA,NA
"1/2 Summer +","PSP",16115,"2013","Adventure","Kaga Create",0,0,0.01,0,0.01,NA,NA,NA
"10 Minute Solution","Wii",11414,"2010","Sports","Activision",0.06,0.01,0,0.01,0.08,NA,NA,NA
"100 All-Time Favorites","DS",3888,"2009","Puzzle","Ubisoft",0.35,0.12,0,0.04,0.51,NA,NA,NA
"100 Classic Books","DS",3008,"2008","Misc","Nintendo",0.13,0.52,0,0.02,0.67,70,"6","Jun 14, 2010"
"100 Classic Games","DS",13892,"2011","Misc","Rondomedia",0,0.03,0,0,0.04,NA,NA,NA
"1000 Cooking Recipes from ELLE à table","DS",14635,"2010","Misc","Nintendo",0,0.02,0,0,0.03,NA,NA,NA
"1001 Touch Games","DS",5538,"2011","Action","Avanquest",0.12,0.17,0,0.04,0.33,NA,NA,NA
"101-in-1 Explosive Megamix","DS",7712,"2008","Puzzle","Nordcurrent",0.05,0.13,0,0.02,0.2,46,"tbd","Apr 21, 2009"
"101-in-1 Party Megamix Wii","Wii",7115,"2009","Misc","Nordcurrent",0.19,0.01,0,0.02,0.23,NA,NA,NA
"101-in-1 Sports Megamix","DS",11310,"2010","Sports","Nordcurrent",0.08,0,0,0.01,0.08,NA,NA,NA
"101-in-1 Sports Party Megamix","Wii",14623,"2010","Sports","Nordcurrent",0.02,0,0,0,0.03,NA,NA,NA
"1080°: TenEighty Snowboarding","N64",839,"1998","Sports","Nintendo",1.25,0.61,0.13,0.05,2.03,NA,NA,NA
"11eyes: CrossOver","PSP",15555,"2010","Adventure","5pb",0,0,0.02,0,0.02,NA,NA,NA
"11eyes: CrossOver","X360",15008,"2009","Adventure","5pb",0,0,0.02,0,0.02,NA,NA,NA
"12-Sai. Honto no Kimochi","3DS",12237,"2014","Adventure","Happinet",0,0,0.07,0,0.07,NA,NA,NA
"12-Sai. Koisuru Diary","3DS",14007,"2016","Adventure","Happinet",0,0,0.04,0,0.04,NA,NA,NA
"12Riven: The Psi-Climinal of Integral","PS2",13692,"2008","Adventure","CyberFront",0,0,0.04,0,0.04,NA,NA,NA
"15 Days","PC",16543,"2009","Adventure","DTP Entertainment",0,0.01,0,0,0.01,NA,NA,NA
"1701 A.D.","PC",5843,"2006","Simulation","Deep Silver",0,0.25,0,0.05,0.3,79,"8.2","Nov 6, 2006"
"18 Wheeler: American Pro Trucker","GC",10077,"2002","Racing","Acclaim Entertainment",0.09,0.02,0,0,0.11,52,"6.8","Feb 18, 2002"
"18 Wheeler: American Pro Trucker","PS2",4832,"2001","Racing","Acclaim Entertainment",0.2,0.15,0,0.05,0.4,61,"5.6","Nov 14, 2001"
"18 Wheels of Steel: Extreme Trucker","PC",15155,"2009","Racing","Rondomedia",0,0.02,0,0,0.02,NA,NA,NA
"18 Wheels of Steel: Extreme Trucker 2","PC",10160,"2011","Racing","Rondomedia",0.08,0.02,0,0.01,0.11,NA,NA,NA
"187: Ride or Die","PS2",8896,"2005","Racing","Ubisoft",0.07,0.06,0,0.02,0.15,NA,NA,NA
"187: Ride or Die","XB",12255,"2005","Racing","Ubisoft",0.05,0.01,0,0,0.06,NA,NA,NA
"1942","NES",2061,"1985","Shooter","Capcom",0.65,0.14,0.21,0,1,NA,NA,NA
"2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race","GBA",9833,"2005","Racing","THQ",0.09,0.03,0,0,0.12,NA,NA,NA
"2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures","GBA",1000,"2007","Action","THQ",1.26,0.47,0,0.03,1.76,NA,NA,NA
"2 Games in 1: Disney Princess & The Lion King","GBA",1015,"2004","Misc","THQ",1.25,0.46,0,0.03,1.75,NA,NA,NA
"2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2","GBA",5750,"2005","Action","THQ",0.22,0.08,0,0.01,0.31,NA,NA,NA
"2 Games in 1: Sonic Advance & ChuChu Rocket!","GBA",946,"2005","Misc","THQ",1.31,0.49,0,0.03,1.83,NA,NA,NA
"2 Games in 1: Sonic Battle & ChuChu Rocket!","GBA",3294,"2005","Misc","THQ",0.44,0.16,0,0.01,0.61,NA,NA,NA
"2 Games in 1: Sonic Pinball Party & Columns Crown","GBA",12403,"2005","Misc","Sega",0.04,0.02,0,0,0.06,NA,NA,NA
"2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild","GBA",4313,"2005","Platform","THQ",0.33,0.12,0,0.01,0.45,NA,NA,NA
"2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","X360",9973,"2013","Misc","Ubisoft",0.09,0.01,0,0.01,0.12,NA,NA,NA
"2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","XB",3772,"2004","Misc","Sega",0.4,0.11,0,0.02,0.53,NA,NA,NA
"2-in-1 Game Pack: Spider-Man & Spider-Man 2","GBA",11057,"2005","Platform","Activision",0.06,0.02,0,0,0.09,NA,NA,NA
"2002 FIFA World Cup","GC",13267,"2002","Sports","Electronic Arts",0.04,0.01,0,0,0.05,78,"7.7","Apr 30, 2002"
"2002 FIFA World Cup","PS2",3407,"2002","Sports","Electronic Arts",0.21,0.17,0.16,0.06,0.59,73,"5.6","Apr 22, 2002"
"2002 FIFA World Cup","XB",7849,"2002","Sports","Electronic Arts",0.14,0.04,0,0.01,0.19,NA,NA,NA
"2010 FIFA World Cup South Africa","PS3",1614,"2010","Sports","Electronic Arts",0.3,0.64,0.07,0.22,1.23,82,"7.7","Apr 27, 2010"
"2010 FIFA World Cup South Africa","PSP",4113,"2010","Sports","Electronic Arts",0.09,0.24,0.03,0.12,0.48,69,"7.4","Apr 26, 2010"
"2010 FIFA World Cup South Africa","Wii",4525,"2010","Sports","Electronic Arts",0.23,0.15,0.01,0.04,0.43,NA,NA,NA
"2010 FIFA World Cup South Africa","X360",2426,"2010","Sports","Electronic Arts",0.32,0.43,0.02,0.09,0.86,83,"8.2","Apr 27, 2010"
"2014 FIFA World Cup Brazil","PS3",2903,"2014","Sports","Electronic Arts",0.15,0.39,0.01,0.16,0.71,73,"4.3","Apr 15, 2014"
"2014 FIFA World Cup Brazil","X360",4170,"2014","Sports","Electronic Arts",0.14,0.28,0,0.04,0.47,74,"4.4","Apr 15, 2014"
"24: The Game","PS2",5861,"2006","Adventure","Sony Computer Entertainment",0.15,0.12,0,0.04,0.3,62,"8.2","Feb 28, 2006"
"25 to Life","PS2",4578,"2006","Shooter","Eidos Interactive",0.35,0.01,0,0.06,0.42,39,"4.9","Jan 17, 2006"
"25 to Life","XB",8431,"2006","Shooter","Eidos Interactive",0.12,0.04,0,0.01,0.17,NA,NA,NA
"2Xtreme","PS",1384,"1996","Sports","Sony Computer Entertainment",1.15,0.2,0,0.05,1.4,NA,NA,NA
"3 in 1: Solitaire, Mahjong & Tangram","DS",11435,"2010","Misc","Deep Silver",0,0.07,0,0.01,0.08,NA,NA,NA
"300: March to Glory","PSP",4712,"2007","Action","Warner Bros. Interactive Entertainment",0.27,0.08,0,0.06,0.41,55,"7.3","Feb 27, 2007"
"3D Baseball","PS",14219,"1996","Sports","BMG Interactive Entertainment",0.02,0.01,0,0,0.03,NA,NA,NA
"3D Dot Game Heroes","PS3",3533,"2009","Role-Playing","SouthPeak Games",0.36,0.12,0.03,0.07,0.57,77,"8","May 11, 2010"
"3D Lemmings","PS",12587,"1995","Puzzle","Psygnosis",0.03,0.02,0,0,0.06,NA,NA,NA
"3D Tank Warfare Simulator Panzer Front","PS",10597,"1999","Simulation","Avalon Interactive",0.06,0.04,0,0.01,0.1,NA,NA,NA
"3DS Classic Collection","3DS",14779,"2016","Misc","Sega",0.02,0,0,0,0.03,NA,NA,NA
"3rd Super Robot Wars Z Jigoku Hen","PS3",7132,"2014","Role-Playing","Namco Bandai Games",0,0,0.23,0,0.23,NA,NA,NA
"3rd Super Robot Wars Z Jigoku Hen","PSV",7916,"2014","Role-Playing","Namco Bandai Games",0,0,0.19,0,0.19,NA,NA,NA
"3rd Super Robot Wars Z: Tengoku-Hen","PS3",8848,"2015","Action","Namco Bandai Games",0,0,0.15,0,0.15,NA,NA,NA
"3rd Super Robot Wars Z: Tengoku-Hen","PSV",7942,"2015","Action","Namco Bandai Games",0,0,0.19,0,0.19,NA,NA,NA
"3Xtreme","PS",2307,"1999","Action","989 Studios",0.5,0.34,0,0.06,0.9,NA,NA,NA
"4 Elements","PC",12825,"2009","Puzzle","Mastertronic",0,0.04,0,0.01,0.05,NA,NA,NA
"4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship","DS",9852,"2005","Misc","Atari",0.11,0,0,0.01,0.12,NA,NA,NA
"4 Nin uchi Mahjong","NES",1326,"1984","Misc","Nintendo",0,0,1.45,0,1.45,NA,NA,NA
"40 Winks","PS",5804,"1999","Platform","GT Interactive",0.17,0.12,0,0.02,0.31,NA,NA,NA
"428: Fuusa Sareta Shibuya de","PS3",15145,"2009","Adventure","Spike",0,0,0.02,0,0.02,NA,NA,NA
"428: Fuusa Sareta Shibuya de","PSP",13561,"2009","Adventure","Spike",0,0,0.04,0,0.04,NA,NA,NA
"428: Fuusa Sareta Shibuya de","Wii",9610,"2008","Adventure","Sega",0,0,0.13,0,0.13,NA,NA,NA
"4x4 EVO 2","GC",9238,"2002","Racing","Vivendi Games",0.11,0.03,0,0,0.14,56,"tbd","Sep 9, 2002"
"4x4 EVO 2","XB",6903,"2001","Racing","Gathering of Developers",0.18,0.05,0,0.01,0.24,NA,NA,NA
"4x4 Evolution","PS2",5681,"2001","Racing","Gathering of Developers",0.16,0.12,0,0.04,0.32,64,"tbd","Feb 26, 2001"
"50 Cent: Blood on the Sand","PS3",7802,"2009","Shooter","THQ",0.1,0.06,0.01,0.03,0.19,72,"7","Feb 24, 2009"
"50 Cent: Blood on the Sand","X360",7362,"2009","Shooter","THQ",0.12,0.07,0,0.02,0.21,71,"6.3","Feb 24, 2009"
"50 Cent: Bulletproof","PS2",981,"2005","Action","Vivendi Games",0.85,0.76,0,0.16,1.77,47,"6.5","Nov 17, 2005"
"50 Cent: Bulletproof","PSP",11195,"2006","Action","Vivendi Games",0.08,0,0,0.01,0.09,NA,NA,NA
"50 Cent: Bulletproof","XB",4438,"2005","Action","Vivendi Games",0.33,0.1,0,0.02,0.44,NA,NA,NA
"50 Classic Games","3DS",15681,"2012","Misc","Avanquest Software",0,0.02,0,0,0.02,NA,NA,NA
"50 Classic Games","DS",3647,"2009","Misc","Destineer",0.52,0,0,0.04,0.55,NA,NA,NA
"64 de Hakken! Tamagotchi Minna de Tamagotchi World","N64",7148,"1997","Misc","Namco Bandai Games",0,0,0.22,0,0.22,NA,NA,NA
"7 Days to Die","PS4",9880,"2016","Action","Telltale Games",0.03,0.07,0,0.02,0.12,45,"5.8","Jun 28, 2016"
"7 Days to Die","XOne",13652,"2016","Action","Telltale Games",0.02,0.02,0,0,0.04,NA,NA,NA
"7 Roses: A Darkness Rises","PC",15577,"2015","Misc","Avanquest Software",0,0.02,0,0,0.02,NA,NA,NA
"7 Wonders II","DS",5657,"2009","Puzzle","Rondomedia",0.14,0.15,0,0.03,0.32,NA,NA,NA
"7 Wonders of the Ancient World","DS",9544,"2007","Puzzle","Funsta",0.1,0.01,0,0.01,0.13,60,"8.3","Sep 17, 2007"
"7 Wonders of the Ancient World","PSP",11561,"2007","Puzzle","Mumbo Jumbo",0.07,0,0,0.01,0.08,51,"tbd","Apr 23, 2007"
"7 Wonders: Treasures of Seven","DS",12857,"2011","Puzzle","Avanquest",0.02,0.03,0,0.01,0.05,NA,NA,NA
"7th Dragon","DS",9278,"2009","Role-Playing","Sega",0,0,0.14,0,0.14,NA,NA,NA
"7th Dragon 2020","PSP",7583,"2011","Role-Playing","Sega",0,0,0.2,0,0.2,NA,NA,NA
"7th Dragon 2020-II","PSP",9619,"2013","Role-Playing","Sega",0,0,0.13,0,0.13,NA,NA,NA
"7th Dragon III Code: VFD","3DS",8678,"2015","Role-Playing","Sega",0.03,0,0.12,0,0.16,76,"7.9","Jul 12, 2016"
"99 no Namida","DS",13815,"2008","Adventure","Namco Bandai Games",0,0,0.04,0,0.04,NA,NA,NA
"999: Nine Hours, Nine Persons, Nine Doors","DS",4543,"2009","Adventure","ChunSoft",0.37,0,0.03,0.03,0.43,NA,NA,NA
"A Boy and His Blob","Wii",7181,"2009","Platform","Majesco Entertainment",0.19,0.02,0,0.02,0.22,NA,NA,NA
"A Bug's Life","N64",3205,"1998","Platform","Activision",0.49,0.13,0,0.01,0.63,NA,NA,NA
"A Bug's Life","PS",530,"1998","Platform","Sony Computer Entertainment",1.96,0.72,0,0.11,2.79,NA,NA,NA
"A Collection of Activision Classic Games for the Atari 2600","PS",1417,"1998","Misc","Activision",0.76,0.52,0,0.09,1.37,NA,NA,NA
"A Collection of Classic Games from the Intellivision","PS",5810,"1999","Misc","Activision",0.17,0.12,0,0.02,0.31,NA,NA,NA
"A Game of Thrones: Genesis","PC",14078,"2011","Strategy","Focus Home Interactive",0,0.03,0,0.01,0.04,53,"4.1","Sep 28, 2011"
"A Good Librarian Like a Good Shepherd: Library Party","PSV",14353,"2015","Action","Kaga Create",0,0,0.03,0,0.03,NA,NA,NA
"A llI S.V.: A Ressha de Gyoukou 3 Super Version","SNES",12387,"1995","Simulation","Pack-In-Video",0,0,0.06,0,0.06,NA,NA,NA
"A New Beginning","PC",12417,"2010","Adventure","Deep Silver",0,0.05,0,0.01,0.06,NA,NA,NA
"A Ressha de Gyoukou 2001","PS2",14869,"2001","Simulation","ArtDink",0,0,0.03,0,0.03,NA,NA,NA
"A Ressha de Ikou DS","DS",13864,"2009","Simulation","ArtDink",0,0,0.04,0,0.04,NA,NA,NA
"A Vampyre Story","PC",15827,"2008","Adventure","Crimson Cow",0,0.01,0,0,0.02,NA,NA,NA
"A Witch's Tale","DS",10002,"2009","Role-Playing","Nippon Ichi Software",0.08,0,0.03,0.01,0.11,50,"6.2","Oct 13, 2009"
"A-Train","PS",11531,"1995","Simulation","Sony Computer Entertainment",0.02,0.01,0.04,0.01,0.08,NA,NA,NA
"A-Train 6","PS2",12773,"2000","Strategy","Midas Interactive Entertainment",0,0,0.06,0,0.06,NA,NA,NA
"A-Train: City Simulator","3DS",12407,"2014","Simulation","ArtDink",0,0,0.06,0,0.06,NA,NA,NA
"A. IV Evolution: A Ressha de Ikou 4","PS",6643,"1994","Strategy","ArtDink",0,0,0.24,0.02,0.25,NA,NA,NA
"A.C.E.: Another Century's Episode","PS2",6560,"2005","Simulation","Banpresto",0,0,0.26,0,0.26,NA,NA,NA
"A.C.E.: Another Century's Episode 2","PS2",8105,"2006","Simulation","Banpresto",0,0,0.18,0,0.18,NA,NA,NA
"A.C.E.: Another Century's Episode 3: The Final","PS2",6588,"2007","Simulation","Banpresto",0,0,0.26,0,0.26,NA,NA,NA
"A.C.E.: Another Century's Episode Portable","PSP",9905,"2011","Simulation","Namco Bandai Games",0,0,0.12,0,0.12,NA,NA,NA
"A.C.E.: Another Century's Episode R","PS3",6454,"2010","Simulation","Namco Bandai Games",0,0,0.26,0,0.26,NA,NA,NA
"Aa Megami-samaa","PS2",16216,"2007","Adventure","Marvelous Interactive",0,0,0.01,0,0.01,NA,NA,NA
"ABBA: You Can Dance","Wii",2569,"2011","Misc","Ubisoft",0.19,0.5,0,0.11,0.8,NA,NA,NA
"Abunai: Koi no Sousa Shitsu","PSP",16052,"2012","Action","Quinrose",0,0,0.01,0,0.01,NA,NA,NA
"Abunai: Koi no Sousa Shitsu","PSV",15752,"2015","Action","Asgard",0,0,0.02,0,0.02,NA,NA,NA
"AC/DC LIVE: Rock Band Track Pack","PS2",8705,"2008","Misc","MTV Games",0.08,0.06,0,0.02,0.16,NA,NA,NA
"AC/DC LIVE: Rock Band Track Pack","PS3",6823,"2008","Misc","MTV Games",0.21,0.01,0,0.02,0.24,NA,NA,NA
"AC/DC LIVE: Rock Band Track Pack","Wii",6239,"2008","Misc","MTV Games",0.25,0,0,0.02,0.28,NA,NA,NA
"AC/DC LIVE: Rock Band Track Pack","X360",7121,"2008","Misc","MTV Games",0.21,0,0,0.02,0.23,NA,NA,NA
"Academy of Champions: Soccer","Wii",9465,"2009","Sports","Ubisoft",0.1,0.02,0,0.01,0.13,NA,NA,NA
"Accel World: Ginyoku no Kakusei","PS3",14300,"2012","Adventure","Namco Bandai Games",0,0,0.03,0,0.03,NA,NA,NA
"Accel World: Ginyoku no Kakusei","PSP",14336,"2012","Adventure","Namco Bandai Games",0,0,0.03,0,0.03,NA,NA,NA
"Accel World: Kasoku no Chouten","PS3",15950,"2013","Adventure","Namco Bandai Games",0,0,0.02,0,0.02,NA,NA,NA
"Accel World: Kasoku no Chouten","PSP",16153,"2013","Adventure","Namco Bandai Games",0,0,0.01,0,0.01,NA,NA,NA
"Ace Attorney 6","3DS",6392,"2016","Adventure","Capcom",0,0,0.27,0,0.27,NA,NA,NA
"Ace Attorney Investigations 2","DS",6502,"2011","Adventure","Capcom",0,0,0.26,0,0.26,NA,NA,NA
"Ace Attorney Investigations: Miles Edgeworth","DS",2716,"2009","Adventure","Capcom",0.27,0.15,0.3,0.04,0.76,78,"8.4","Feb 16, 2010"
"Ace Combat 04: Shattered Skies","PS2",434,"2001","Simulation","Sony Computer Entertainment Europe",2.06,0.56,0.38,0.17,3.17,89,"8.9","Nov 1, 2001"
"Ace Combat 2","PS",2341,"1997","Simulation","Sony Computer Entertainment",0.16,0.11,0.56,0.06,0.89,NA,NA,NA
"Ace Combat 3: Electrosphere","PS",2483,"1999","Simulation","Sony Computer Entertainment",0.22,0.15,0.4,0.05,0.83,NA,NA,NA
"Ace Combat 5: The Unsung War","PS2",1046,"2004","Simulation","Sony Computer Entertainment Europe",0.88,0.34,0.32,0.18,1.71,84,"8.9","Oct 25, 2004"
"Ace Combat 6: Fires of Liberation","X360",2038,"2007","Simulation","Atari",0.69,0.04,0.22,0.06,1.02,80,"7.9","Oct 23, 2007"
"Ace Combat X: Skies of Deception","PSP",2090,"2006","Simulation","Namco Bandai Games",0.37,0.31,0.12,0.19,0.99,75,"8.3","Oct 23, 2006"
"Ace Combat Zero: The Belkan War","PS2",3920,"2006","Simulation","Namco Bandai Games",0.15,0.12,0.2,0.04,0.51,75,"8.4","Apr 25, 2006"
"Ace Combat: Assault Horizon","PS3",2764,"2011","Action","Namco Bandai Games",0.3,0.16,0.22,0.07,0.74,77,"6.8","Oct 11, 2011"
"Ace Combat: Assault Horizon","X360",4021,"2011","Action","Namco Bandai Games",0.3,0.12,0.03,0.04,0.49,78,"6.2","Oct 11, 2011"
"Ace Combat: Assault Horizon Legacy","3DS",6802,"2011","Simulation","Namco Bandai Games",0.1,0.06,0.08,0.01,0.24,71,"7.8","Nov 15, 2011"
"Ace Combat: Joint Assault","PSP",6014,"2010","Simulation","Namco Bandai Games",0.06,0.05,0.15,0.03,0.29,71,"7.3","Aug 31, 2010"
"Achtung Panzer: Kharkov 1943","PC",15816,"2010","Strategy","Mamba Games",0,0.01,0,0,0.02,NA,NA,NA
"Act of Aggression","PC",16364,"2015","Strategy","Focus Home Interactive",0,0.01,0,0,0.01,71,"7.1","Sep 2, 2015"
"Action Bass","PS",1784,"2000","Action","Take-Two Interactive",0.64,0.43,0,0.07,1.14,51,"tbd","Jul 14, 2000"
"Action Force","2600",3718,"1982","Action","CPG Products",0.5,0.03,0,0.01,0.54,NA,NA,NA
"Action Man-Operation Extreme","PS",11078,"N/A","Action","N/A",0.05,0.03,0,0.01,0.09,NA,NA,NA
"Active Health with Carol Vorderman","DS",7903,"2009","Sports","Nintendo",0,0.18,0,0.01,0.19,NA,NA,NA
"Active Life Explorer","Wii",8798,"2010","Sports","Namco Bandai Games",0.14,0,0,0.01,0.15,NA,NA,NA
"Active Life: Extreme Challenge","Wii",4091,"2009","Sports","Namco Bandai Games",0.15,0.27,0,0.06,0.48,NA,NA,NA
"Active Life: Magical Carnival","Wii",13165,"2011","Misc","Namco Bandai Games",0.04,0.01,0,0,0.05,NA,NA,NA
"Active Life: Outdoor Challenge","Wii",1200,"2008","Sports","Atari",0.79,0.44,0.19,0.14,1.55,NA,NA,NA
"Activision Anthology","GBA",13440,"2003","Misc","Activision",0.03,0.01,0,0,0.05,79,"tbd","Dec 9, 2003"
"Activision Anthology","PS2",3969,"2002","Misc","Activision",0.25,0.19,0,0.06,0.5,75,"8.1","Nov 19, 2002"
"Activision Hits: Remixed","PSP",12819,"2006","Misc","Activision",0.05,0,0,0,0.06,NA,NA,NA
"Actua Tennis","PS",9658,"1997","Sports","Gremlin Interactive Ltd",0.07,0.05,0,0.01,0.13,NA,NA,NA
"Adidas Power Soccer","PS",13911,"1996","Sports","Psygnosis",0.02,0.01,0,0,0.04,NA,NA,NA
"Adidas Power Soccer 98","PS",15476,"1998","Sports","Psygnosis",0.01,0.01,0,0,0.02,NA,NA,NA
"Adrenalin Misfits","X360",9023,"2010","Racing","Konami Digital Entertainment",0.12,0.02,0,0.01,0.14,50,"tbd","Nov 4, 2010"
"Advance Guardian Heroes","GBA",13549,"2004","Role-Playing","Ubisoft",0.03,0.01,0,0,0.04,65,"tbd","Sep 14, 2004"
"Advance Wars","GBA",2925,"2001","Strategy","Nintendo",0.5,0.19,0,0.01,0.7,92,"9","Sep 9, 2001"
"Advance Wars 2: Black Hole Rising","GBA",3115,"2003","Strategy","Nintendo",0.47,0.17,0,0.01,0.65,89,"9.1","Jun 24, 2003"
"Advance Wars: Days of Ruin","DS",3219,"N/A","Strategy","Nintendo",0.44,0.13,0,0.06,0.63,86,"8.6","Jan 21, 2008"
"Advance Wars: Dual Strike","DS",4806,"2005","Strategy","Nintendo",0.3,0.03,0.04,0.03,0.4,90,"8.9","Aug 22, 2005"
"Advent Rising","XB",9586,"2005","Action","THQ",0.1,0.03,0,0,0.13,NA,NA,NA
"Adventure","2600",1515,"N/A","Adventure","Atari",1.21,0.08,0,0.01,1.3,NA,NA,NA
"Adventure Island","NES",1973,"1986","Platform","Hudson Soft",0,0,1.05,0,1.05,NA,NA,NA
"Adventure Time: Explore the Dungeon Because I Don't Know!","3DS",9010,"2013","Action","D3Publisher",0.1,0.03,0,0.01,0.14,NA,NA,NA
"Adventure Time: Explore the Dungeon Because I Don't Know!","PS3",13211,"2013","Action","D3Publisher",0.02,0.02,0,0.01,0.05,NA,NA,NA
"Adventure Time: Explore the Dungeon Because I Don't Know!","WiiU",14105,"2013","Action","D3Publisher",0.02,0.01,0,0,0.03,NA,NA,NA
"Adventure Time: Explore the Dungeon Because I Don't Know!","X360",11425,"2013","Action","D3Publisher",0.03,0.04,0,0.01,0.08,NA,NA,NA
"Adventure Time: Finn & Jake Investigations","3DS",11780,"2015","Action","Little Orbit",0.02,0.05,0,0.01,0.07,NA,NA,NA
"Adventure Time: Finn & Jake Investigations","PS3",10435,"2015","Action","Little Orbit",0.02,0.07,0,0.02,0.1,NA,NA,NA
"Adventure Time: Finn & Jake Investigations","PS4",11185,"2015","Action","Little Orbit",0.03,0.04,0,0.01,0.09,NA,NA,NA
"Adventure Time: Finn & Jake Investigations","WiiU",12885,"2015","Action","Little Orbit",0.03,0.02,0,0,0.05,NA,NA,NA
"Adventure Time: Finn & Jake Investigations","X360",10884,"2015","Action","Little Orbit",0.02,0.06,0,0.01,0.09,NA,NA,NA
"Adventure Time: Finn & Jake Investigations","XOne",13126,"2015","Action","Little Orbit",0.02,0.02,0,0,0.05,NA,NA,NA
"Adventure Time: The Secret of the Nameless","3DS",15911,"2014","Adventure","Little Orbit",0.01,0,0,0,0.02,NA,NA,NA
"Adventure Time: The Secret of the Nameless","X360",16204,"2014","Adventure","Little Orbit",0.01,0,0,0,0.01,NA,NA,NA
"Adventure Time: The Secret of the Nameless Kingdom","3DS",11432,"2014","Action","Little Orbit",0,0.07,0,0,0.08,NA,NA,NA
"Adventure Time: The Secret of the Nameless Kingdom","X360",11205,"2014","Action","Little Orbit",0,0.08,0,0.01,0.09,NA,NA,NA
